RANK,COUNTRY,COUNTRY_CODE,LATITUDE,LONGITUDE,AVG_TOTAL_SCORE
1,Finland," ""FIN"""," ""64"""," ""26""",7.6245
2,Denmark," ""DNK"""," ""56"""," ""10""",7.56625
3,Norway," ""NOR"""," ""62"""," ""10""",7.545875
4,Iceland," ""ISL"""," ""65"""," ""-18""",7.504625
5,Switzerland," ""CHE"""," ""47"""," ""8""",7.499625
6,Netherlands," ""NLD"""," ""52.5"""," ""5.75""",7.435875
7,Sweden," ""SWE"""," ""62"""," ""15""",7.328125
8,Canada," ""CAN"""," ""60"""," ""-95""",7.323375
9,New Zealand," ""NZL"""," ""-41"""," ""174""",7.31075
10,Australia," ""AUS"""," ""-27"""," ""133""",7.258125
11,Austria," ""AUT"""," ""47.3333"""," ""13.3333""",7.181
12,Costa Rica," ""CRI"""," ""10"""," ""-84""",7.1415
13,Israel," ""ISR"""," ""31.5"""," ""34.75""",7.141
14,Luxembourg," ""LUX"""," ""49.75"""," ""6.1667""",6.99375
15,Ireland," ""IRL"""," ""53"""," ""-8""",6.985625
16,United Kingdom," ""GBR"""," ""54"""," ""-2""",6.964
17,United States," ""USA"""," ""38"""," ""-97""",6.95875
18,Germany," ""DEU"""," ""51"""," ""9""",6.95
19,Belgium," ""BEL"""," ""50.8333"""," ""4""",6.922
20,United Arab Emirates," ""ARE"""," ""24"""," ""54""",6.7745
21,Czech Republic," ""CZE"""," ""49.75"""," ""15.5""",6.728625
22,Mexico," ""MEX"""," ""23"""," ""-102""",6.676375
23,Malta," ""MLT"""," ""35.8333"""," ""14.5833""",6.606
24,France," ""FRA"""," ""46"""," ""2""",6.544
25,Chile," ""CHL"""," ""-30"""," ""-71""",6.534875
26,Brazil," ""BRA"""," ""-10"""," ""-55""",6.523625
27,Panama," ""PAN"""," ""9"""," ""-80""",6.456625
28,Singapore," ""SGP"""," ""1.3667"""," ""103.8""",6.4375
29,Qatar," ""QAT"""," ""25.5"""," ""51.25""",6.403875
30,Uruguay," ""URY"""," ""-33"""," ""-56""",6.379375
31,Guatemala," ""GTM"""," ""15.5"""," ""-90.25""",6.378375
32,Saudi Arabia," ""SAU"""," ""25"""," ""45""",6.375625
33,Spain," ""ESP"""," ""40"""," ""-4""",6.352375
34,Argentina," ""ARG"""," ""-34"""," ""-64""",6.319375
35,Colombia," ""COL"""," ""4"""," ""-72""",6.259375
36,Thailand," ""THA"""," ""15"""," ""100""",6.182125
37,El Salvador," ""SLV"""," ""13.8333"""," ""-88.9167""",6.1725
38,Bahrain," ""BHR"""," ""26"""," ""50.55""",6.14575
39,Slovakia," ""SVK"""," ""48.6667"""," ""19.5""",6.142
40,Kuwait," ""KWT"""," ""29.3375"""," ""47.6581""",6.10075
41,Italy," ""ITA"""," ""42.8333"""," ""12.8333""",6.097625
42,Uzbekistan," ""UZB"""," ""41"""," ""64""",6.094125
43,Nicaragua," ""NIC"""," ""13"""," ""-85""",6.0565
44,Poland," ""POL"""," ""52"""," ""20""",6.05625
45,Lithuania," ""LTU"""," ""56"""," ""24""",6.012
46,Ecuador," ""ECU"""," ""-2"""," ""-77.5""",6.0055
47,Slovenia," ""SVN"""," ""46"""," ""15""",5.97425
48,Japan," ""JPN"""," ""36"""," ""138""",5.910875
49,South Korea," ""KOR"""," ""37"""," ""127.5""",5.889
50,Cyprus," ""CYP"""," ""35"""," ""33""",5.85025
51,Romania," ""ROU"""," ""46"""," ""25""",5.83775
52,Kazakhstan," ""KAZ"""," ""48"""," ""68""",5.827375
53,Bolivia," ""BOL"""," ""-17"""," ""-65""",5.800375
54,Kosovo,"""KOS""",,,5.791375
55,Latvia," ""LVA"""," ""57"""," ""25""",5.775125
56,Mauritius," ""MUS"""," ""-20.2833"""," ""57.55""",5.774625
57,Jamaica," ""JAM"""," ""18.25"""," ""-77.5""",5.7475
58,Russia," ""RUS"""," ""60"""," ""100""",5.742125
59,Estonia," ""EST"""," ""59"""," ""26""",5.7335
60,Peru," ""PER"""," ""-10"""," ""-76""",5.716625
61,Paraguay," ""PRY"""," ""-23"""," ""-58""",5.69525
62,Malaysia," ""MYS"""," ""2.5"""," ""112.5""",5.692125
63,"Moldova, Republic of"," ""MDA"""," ""47"""," ""29""",5.6725
64,Libya," ""LBY"""," ""25"""," ""17""",5.57
65,Algeria," ""DZA"""," ""28"""," ""3""",5.496375
66,Belarus," ""BLR"""," ""53"""," ""28""",5.494875
67,Hungary," ""HUN"""," ""47"""," ""20""",5.490125
68,Philippines," ""PHL"""," ""13"""," ""122""",5.47875
69,Honduras," ""HND"""," ""15"""," ""-86.5""",5.473
70,Pakistan," ""PAK"""," ""30"""," ""70""",5.459875
71,Turkmenistan," ""TKM"""," ""40"""," ""60""",5.4565
72,Portugal," ""PRT"""," ""39.5"""," ""-8""",5.45025
73,Croatia," ""HRV"""," ""45.1667"""," ""15.5""",5.448625
74,Serbia," ""SRB"""," ""44"""," ""21""",5.438125
75,Turkey," ""TUR"""," ""39"""," ""35""",5.3995
76,Montenegro," ""MNE"""," ""42"""," ""19""",5.378625
77,Dominican Republic," ""DOM"""," ""19"""," ""-70.6667""",5.284
78,Bosnia and Herzegovina," ""BIH"""," ""44"""," ""18""",5.245875
79,Tajikistan," ""TJK"""," ""39"""," ""71""",5.23625
80,Indonesia," ""IDN"""," ""-5"""," ""120""",5.2295
81,Venezuela," ""VEN"""," ""8"""," ""-66""",5.22225
82,Azerbaijan," ""AZE"""," ""40.5"""," ""47.5""",5.22125
83,China," ""CHN"""," ""35"""," ""105""",5.2085
84,Kyrgyzstan," ""KGZ"""," ""41"""," ""75""",5.20625
85,Greece," ""GRC"""," ""39"""," ""22""",5.202875
86,Morocco," ""MAR"""," ""32"""," ""-5""",5.185625
87,Nigeria," ""NGA"""," ""10"""," ""8""",5.179
88,Lebanon," ""LBN"""," ""33.8333"""," ""35.8333""",5.167375
89,Vietnam," ""VNM"""," ""16"""," ""106""",5.16225
90,Mongolia," ""MNG"""," ""46"""," ""105""",5.125125
91,Bhutan," ""BTN"""," ""27.5"""," ""90.5""",5.10875
92,Jordan," ""JOR"""," ""31"""," ""36""",5.077
93,Nepal," ""NPL"""," ""28"""," ""84""",4.850125
94,Cameroon," ""CMR"""," ""6"""," ""12""",4.826375
95,Bulgaria," ""BGR"""," ""43"""," ""25""",4.76575
96,"Palestinian Territory, Occupied"," ""PSE"""," ""32"""," ""35.25""",4.721375
97,Albania," ""ALB"""," ""41"""," ""20""",4.715
98,Ghana," ""GHA"""," ""8"""," ""-2""",4.70875
99,South Africa," ""ZAF"""," ""-29"""," ""24""",4.69275
100,"Iran, Islamic Republic of"," ""IRN"""," ""32"""," ""53""",4.63625
101,Tunisia," ""TUN"""," ""34"""," ""9""",4.628125
102,Gabon," ""GAB"""," ""-1"""," ""11.75""",4.5545
103,Congo," ""COG"""," ""-1"""," ""15""",4.540375
104,Bangladesh," ""BGD"""," ""24"""," ""90""",4.533625
105,Ivory Coast," ""CIV"""," ""8"""," ""-5""",4.52475
